price,dist_from_cent
31680,.10417544
43436,.064502962
52021,.15642531
22202,.14391704
48396,.049164832
52000,.076252669
37672,.078489728
49521,.064502962
27917,.26747808
55883,.051169991
31579,.121157
26250,.26747808
39832,.10731466
91710,.047498636
35568,.13580723
60607,.096331753
39115,.04310476
32981,.1314498
30189,.19198975
33577,.1314498
63228,.091161326
29000,.042014934
87176,.03530962
74999,.038157333
52668,.07225322
36417,.095130183
30189,.086008772
40385,.1314498
85366,.05598164
39378,.1437865
33988,.07261543
65407,.045348834
42165,.077460863
51687,.090132698
50672,.12933099
44436,.16999878
29416,.11397994
25455,.16999878
24029,.20777135
58888,.082526445
27195,.18786727
64151,.12316986
30625,.27945572
103566,.099594012
19026,.32562646
49505,.18836261
53178,.10067492
28784,.34348363
32879,.32957783
57677,.043386851
31240,.13018
20523,.32562646
27853,.18195669
20625,.32273605
44147,.35541052
43149,.10884701
61968,.065991797
67470,.1314498
34992,.12258846
26100,.22999197
63577,.066244759
89665,.050529703
29741,.14804795
66879,.044098157
41667,.15548973
48310,.082102567
43772,.082921736
43809,.069631159
40910,.10046341
44887,.26747808
83582,.028173927
33406,.11824073
50092,.063842267
75333,.11057125
24286,.33270699
41728,.14039677
22076,.25658241
59761,.033237621
35289,.15500784
70381,.12316986
40000,.042830635
39608,.11059371
70589,.095238976
30566,.34864247
40909,.093325324
63771,.061319344
29127,.22330908
67678,.041624192
25000,.21618085
51167,.076704226
22167,.33381167
26600,.38864535
32377,.29842964
56250,.068808183
35059,.077759534
25843,.22230196
53799,.14398196
23364,.32449588
27664,.24269749
31288,.19501176
49243,.091924779
26805,.15615946
27272,.15615946
51292,.035433277
58000,.079654604
45091,.082102567
34971,.079341188
21600,.32273605
64956,.14759983
42000,.099771857
30051,.19848308
44116,.16719888
22341,.24269749
46512,.13028693
40759,.044104531
24252,.29918036
56651,.039990176
77242,.062271092
25464,.29386854
27480,.29856747
20041,.34897172
22755,.2965489
25000,.29386854
28505,.29376885
30685,.29781908
21403,.29918036
15991,.18721826
47939,.067143708
28606,.33319691
22332,.31654406
70738,.10042297
44768,.17534089
39692,.21694556
19758,.13453241
56787,.09042415
29615,.14464299
16337,.34785232
65637,.075314842
28709,.37759188
30034,.25746629
76617,.052474745
25000,.34925634
12475,.31654406
37287,.16684662
28031,.15367448
26356,.13894179
27947,.16624817
69006,.11057328
46271,.048381127
47521,.11825337
32743,.13580723
17576,.35541052
20834,.13453241
42708,.035483569
34207,.1502308
56900,.14319465
56191,.1027535
23464,.29386854
60823,.087693639
46567,.067247741
82259,.041782752
36200,.075118802
72132,.022935076
46083,.074925125
45371,.096880808
69231,.046120767
18870,.31919599
50934,.055473175
119684,.042252101
29067,.33152118
64000,.1104109
91013,.08619006
51014,.036715414
31275,.25667328
51087,.087559253
46622,.11712361
74009,.096069582
38077,.064512447
54152,.043386851
32734,.35541052
52440,.043386851
30097,.10986006
65498,.047009606
22416,.3354966
47334,.081606559
29637,.11915993
18360,.22307481
46000,.072302967
17788,.33981109
26497,.042014934
74976,.041235611
24638,.31630197
46017,.078644648
33110,.25688174
25987,.34939271
32172,.1196658
34823,.062780574
85587,.11991453
27500,.25711527
59195,.037978079
65741,.11057328
100045,.048084952
22200,.38864535
49693,.062963307
19797,.32449588
58732,.038434818
25315,.18136118
32360,.3292622
36338,.11891428
24138,.16229959
30924,.1508549
54363,.049744744
25912,.16485927
57046,.032479901
27511,.29856747
26134,.33220449
12105,.31654406
33937,.078374878
35572,.099156335
30858,.099156335
